form	records	municipality_id	elections
Skuodo rajono	618	skuodo-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Skuodo rajono savivaldybė	444	skuodo-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Tauragės rajono	1024	taurages-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Tauragės rajono savivaldybė	818	taurages-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Telšių rajono	865	telsiu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Telšių rajono (Nr. 51)	7	telsiu-rajono	2015-lapkricio-8-telsiu-mero
Telšių rajono savivaldybė	657	telsiu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Trakų rajono	913	traku-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Trakų rajono (52)	6	traku-rajono	2021-spalio-10-meru
Trakų rajono savivaldybė	1183	traku-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-birzelio-7-pakartotiniai-sirvintos-trakai,2015-kovo-1-savivaldybiu
Ukmergės rajono	897	ukmerges-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Ukmergės rajono savivaldybė	726	ukmerges-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Utenos rajono	1190	utenos-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Utenos rajono savivaldybė	896	utenos-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Varėnos rajono	968	varenos-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Varėnos rajono savivaldybė	658	varenos-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Vilkaviškio rajono	706	vilkaviskio-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Vilkaviškio rajono savivaldybė	616	vilkaviskio-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Vilniaus miesto	2943	vilniaus-miesto	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Vilniaus miesto savivaldybė	2463	vilniaus-miesto	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
